League,Player,Games,Game Win %,Z-Nonstandard points per game,Z-Goals per game,Z-Assists per game,Z-Saves per game,Z-Shots per game,Rating Points,Rating Rank
mncs,Panzu,4,25.0%,-1.8968,-2.0458,0.7700,-0.2128,-1.6864,53.6252,51
clmn 1,Dragon.,8,75.0%,-1.7577,-0.6069,-0.4562,-1.4876,-1.4771,53.3749,46
clmn 2,Derreck,24,45.8%,-0.9709,-0.4425,-0.2307,-1.2817,-0.1847,52.9643,28
clmn 1,Stero,9,33.3%,-0.4684,-1.4982,0.2613,-0.6114,-1.4947,52.7165,47
clmn 2,Skoogs,7,42.9%,0.2802,-0.6535,-0.8760,-1.0596,0.2571,52.5266,29
clmn 2,Stero,47,46.8%,0.4170,-0.7254,0.0227,0.1806,-0.2123,51.2859,30
clmn 1,Derreck,10,50.0%,-1.1859,-1.5695,0.0405,-0.6114,-1.2547,50.8531,48
clmn 1,Panzu,15,40.0%,-0.7020,-1.1417,-0.6218,0.6349,-0.8735,47.8783,49
clmn 1,tkd247,3,0.0%,2.4935,-0.0721,-1.9465,2.5043,-0.3653,46.9597,50
clmn 2,CaptainBravo,4,25.0%,-2.0918,-1.1812,0.1799,-2.2147,-0.9828,46.8113,31
clmn 2,TourneyEarnie,12,25.0%,-0.6504,-0.6887,0.5906,1.9318,-0.8831,42.2133,32
clmn 2,Commodore.Bacon,35,28.6%,-0.6247,-0.6535,-0.5944,0.1488,-0.7690,41.1789,33
clmn 2,Double A,32,15.6%,-0.3220,-0.2578,-1.0520,0.5064,-0.5713,41.0365,34
clmn 1,b0nks,3,0.0%,-1.5426,-0.0721,-1.9465,-1.3903,-1.6359,40.8091,51
clmn 2,annie,22,18.2%,-1.3835,-0.7111,-0.0440,-0.4619,-1.4454,40.4532,35
clmn 1,Tactics,9,33.3%,-1.2784,-0.7852,-1.5049,-1.1306,-1.4947,40.4496,52
clmn 2,Nevix,10,10.0%,0.1911,-0.4425,-1.7911,-0.3488,-0.4441,39.9310,36
clmn 2,mysterio,59,23.7%,-0.1459,-0.7680,-0.6135,0.3259,-1.0386,39.1729,37
clmn 1,Titan - Michael,3,0.0%,1.7322,-1.1417,-1.9465,0.9464,-0.7888,37.8354,53
mncs,Wastee,6,0.0%,-1.0611,-1.0026,-2.0593,-0.4877,-1.5593,36.2453,52
clmn 1,Double A,6,0.0%,-1.7407,-2.2113,-1.2841,-1.7797,-1.2124,34.8361,54
mncs,Fyre,4,25.0%,-2.3398,-2.0458,-0.1731,-2.6874,-2.0675,34.6258,53
clmn 1,TrevorG,3,0.0%,-1.4696,-1.1417,-1.9465,-0.6114,-1.2124,33.5509,55
clmn 2,POWERBOGIE,5,40.0%,-1.8755,-1.9199,0.6727,-0.3488,-2.0004,33.2988,38
clmn 1,CaptainBravo,3,0.0%,-3.1278,-1.1417,-0.6218,-1.3903,-2.9065,31.5032,56
mncs,SlayPanther,1,0.0%,-1.6706,-2.0458,-2.0593,-1.0377,-0.5430,30.9147,54
clmn 2,Insanitygifs,29,20.7%,-0.9182,-1.1048,-0.9245,0.5091,-1.4060,30.0714,39
clmn 2,SleevelessKen,6,50.0%,-1.7115,-1.4274,-1.4626,-1.1781,-1.2821,29.2292,40
clmn 2,PAPAHOFF420,8,37.5%,-0.9212,-1.9199,-0.4360,-0.3488,-2.1800,26.7121,41
clmn 2,Switch!,3,0.0%,0.8780,0.0500,-2.2839,2.1391,-1.2821,26.6883,42
clmn 2,The_App,19,36.8%,-1.7641,-1.9199,-1.2465,-1.2654,-1.5972,26.0262,43
clmn 2,Alt Rusty,10,10.0%,-0.8019,-1.9199,-1.2983,-0.5976,-1.8807,23.8321,44
mncs,Blake,3,0.0%,-0.5898,-2.0458,-2.0593,2.2619,-2.0675,23.1818,55
clmn 1,revo,3,0.0%,0.8874,-2.2113,-1.9465,2.5043,-0.7888,22.7350,57
mncs,Jaws00115,3,0.0%,-2.3995,-2.0458,-2.0593,0.0622,-1.5593,18.1438,56
