DISCORD TAG,IN-GAME NAME,HIGHEST RANK REACHED (last 3 seasons),ROCKET LEAGUE TRACKER LINK,Rank Range Value,RL Tracker Peak Value,S3 Player Rating,S4 Draft Player Rating (range),S4 Draft Player Rating (peak)
The_App#0142,The_App,Diamond III (993-1074),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198168866310/overview,993,,26.0262,1019.0262,26.0262
Jaws00115#0194,Jaws00115,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198095896165/overview,1315,,72.7807,1387.7807,72.7807
iChaotic#8984,iChaotic,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198805322139/overview,1711,1732,142.4829,1853.4829,1874.4829
cheeriojf#5519,CheerioJF,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198372477204/overview,1575,,0,1575,0
Gooz#9934,A GUZIK,Champion II (1195-1314),https://rocketleague.tracker.network/rocket-league/profile/xbl/a%20guzik/overview,1195,,0,1195,0
Caesar#7306,Caesar,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198070074997/overview,1575,,0,1575,0
Pylakoid#2748,Pylakoid,Grand Champion III (1711-1863),https://rocketleague.tracker.network/rocket-league/profile/epic/Pylakoid/overview,1711,,88.7619,1799.7619,88.7619
HunterKemnitz#4838,H-Kem10,Champion III (1315-1434),https://rocketleague.tracker.network/rocket-league/profile/epic/H-Kem10/overview,1315,,0,1315,0
Ryu Protex#5713,Ryu Protex,Grand Champion II (1575-1710),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198073670861/overview,1575,1645,84.5403,1659.5403,1729.5403
Cheesed#6718,POWERBOGIE,Platinum III (769-834),https://rocketleague.tracker.network/rocket-league/profile/xbl/POWERBOGIE/overview,769,,33.2988,802.2988,33.2988
Nebula#8736,Nebula,Champion I (1075-1194),https://rocketleague.tracker.network/rocket-league/profile/epic/nzbula/mmr?playlist=11,1075,,0,1075,0
Wildcat#6695,Wildcat,Supersonic Legend (1864+),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198418854529/overview,1864,1823,130.4692,1994.4692,1953.4692
Minerealmo#7944,Feelsbadman,Grand Champion I (1435-1574),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198153365568/overview,1435,,87.0578,1522.0578,87.0578
Aauecpr#1006,Bruwer,Diamond I (835-912),https://rocketleague.tracker.network/rocket-league/profile/steam/76561198108131803/overview,835,,0,835,0
