player_name,league_name,player game win %,player true games total,Z-Goals per average per game,Z-Assists per average per game,Z-Shots per average per game,Z-Saves per average per game,Z-Nonstandard points per average per game
Sog.,Challenger,75.0%,4,1.2307734295050183,2.1473136588410218,1.2327619248997685,-2.1269371350430477,0.02126791442186975
kazan,RisingStar,30.0%,60,0.1885728378172953,-0.02165637218766759,-0.126261906687512,0.17774432984414726,0.01647612330419272
OG_Grips,Prospect,0.0%,6,-1.4659988657082372,-0.6076107250426488,-2.407959428167737,-1.295828958170573,0.014068504434444993
Blahdat,Prospect,66.7%,39,1.7768133607097543,0.6141820323074522,1.5912913697103988,-0.3867362590707643,0.011882732050850782
GraySkull99,Prospect,33.3%,3,-1.9655891113650399,1.2050992288141416,0.5868208181088891,1.291371856165502,0.003824952053727885
Stradus,Prospect,47.9%,48,1.1438462334606205,1.3709865323778254,1.3603085452950534,0.7382632394351043,-0.00505190036812556
Tyrant,RisingStar,52.4%,21,1.3188713666437815,1.1272827347494692,0.5615995800399327,-0.7870802742891553,-0.019341859111557485
BeN Storm,RisingStar,31.6%,19,-0.9563704089642372,1.023321881081246,-0.6473887750603428,-1.0224822112244671,-0.03147446616030611
Aostine,Premier,22.7%,44,-0.09178718880618011,-0.9289539376552061,-0.20949146269037686,0.8076738548033446,-0.03160186011696494
Slugdog2,Prospect,73.7%,19,0.42859354733587035,1.470470180379147,0.44607299547639484,-0.7345893322946482,-0.04132964675424273
xxrage32xx,RisingStar,25.0%,8,-0.4918104469003208,0.8866398055509546,-0.7480774837434456,0.2364653112420149,-0.048114710495886545
Reg,Challenger,48.1%,27,0.4207960853727488,0.7094520337504514,0.9028403109655897,-0.7809544181328192,-0.05830742917413023
Gatormelon,RisingStar,30.0%,30,-0.09281955392552094,-0.4637302990948588,-0.42997013653434973,-0.034640456505601845,-0.05913502521204136
Calster,Premier,45.0%,20,0.1455132143307354,-0.013857547234922947,0.6526154990095879,0.8446693044078383,-0.06105885394593832
Tactics,RisingStar,60.0%,15,-0.5555414001032529,0.05156228861684579,-0.6889021792712444,-0.3472728373063204,-0.0629570201995225
Kye,Premier,52.7%,55,-0.3481834605302568,1.0829224237442765,0.12672560527427418,-0.30819428255919656,-0.06787708667335562
Dorca,Premier,61.8%,55,1.1750377541431951,0.24105257204772917,0.7750476233292476,-0.19255097567578658,-0.08611823793120509
PaulyB,Premier,55.3%,47,0.5347298051360172,0.5551865919915362,0.2568268915785262,0.03954819111316609,-0.09346611464118444
QUIKHorizon,Premier,0.0%,1,-2.431057317911047,-2.5422639752217293,-4.373013851284533,-3.5471842254707013,-0.09933641760465257
Alec,Challenger,48.4%,62,0.11088973309872112,-0.2855881415882444,0.3311521869579109,0.5648690348065205,-0.1063289401750002
dinger022,RisingStar,52.4%,21,1.0777116573141696,1.1836491065985797,-0.010044751084874749,0.3126159364021652,-0.10858094314782
ambrosia,Premier,58.2%,55,0.3505756021209001,1.3101059612223105,1.1758810343190467,-0.1735517126541232,-0.11967766700528872
Prussia,Premier,47.5%,59,-0.9289277702029394,0.04869759513553469,-0.46628948619519817,-0.23604382140538327,-0.12406221074571627
Zer0Vibes,Challenger,0.0%,3,-2.180517448585782,-1.948847767416386,-2.367424341294145,-0.5533502694209764,-0.12614820193812296
Fraud,Prospect,64.1%,39,-0.14082253502335154,1.4475330776098885,0.3399457651508409,-0.8198097069432226,-0.14243055395430887
Caesar,Challenger,55.3%,47,1.6481623420145293,-0.13815692624507694,0.5193358747678906,-0.12430467882486045,-0.1442952430807254
BigQ,Prospect,58.1%,31,0.49791329246922933,0.14984400339229775,0.6360139565767857,1.341113439664402,-0.1535982595136396
Kiin.gov,RisingStar,29.1%,55,0.3059491170684234,-0.16406847887743808,-0.688549928343698,-0.40035905366526636,-0.1554651978188032
peydirt,Challenger,33.3%,9,-1.0350518651288745,2.0763526783383557,-1.3525519603853058,-1.108630661742688,-0.15732992216475047
Papo,Challenger,53.3%,45,-0.6471463259088615,0.18816241814139786,-0.13577217177380613,0.4415588786841149,-0.16859552044828843
Fuego,Premier,61.5%,65,0.6958145138653437,0.3062067433971515,0.7906444244154371,0.0054097812669142995,-0.17081905350014395
Wastee,RisingStar,58.8%,51,0.2961132732291837,0.4828944520518355,0.20101872529600173,-0.58100444840481,-0.18011483211720244
vanish,Premier,49.1%,55,1.653148213527174,0.24032764857369585,2.2810713978909076,0.30529027077730103,-0.18685658474199368
Veltri,Premier,46.2%,39,0.47230112994448464,0.3870908236313253,0.09957215576548407,-0.4890481073824081,-0.1971032679373069
tkd247,Challenger,35.3%,51,0.5448464554114192,-0.18164462243817397,0.07782515206378073,1.4472438117186524,-0.19788003956064684
renbo,RisingStar,53.8%,26,-0.3998481483315998,-0.23719359354506334,0.35070642200658203,0.5674694394341193,-0.19880133811022022
bleu,RisingStar,0.0%,3,-1.3375445166154487,-2.0624587286689726,-2.145663366376983,3.8501687806228393,-0.20037095753099232
BeN Storm,Challenger,0.0%,3,-1.0923760225247294,0.24068434318646778,-2.0596746740616614,-1.7737041043526054,-0.2176964450082735
Linke.,Challenger,0.0%,3,-1.0923760225247294,1.3354503984878945,-0.3090156673827551,0.7181796940723019,-0.2176964450082735
Voltdestroyer,Premier,63.2%,38,2.6357323505841483,-0.3777275568541127,1.969147871807968,0.4780982779830762,-0.22168985893954676
PCMcD,Premier,80.0%,15,0.635285178850322,0.4633868578679223,-0.07829205114329298,-0.9288410493397936,-0.22523582449295865
Conundrum Effect,Challenger,46.0%,50,0.25521215190164687,0.14317966171208654,0.2811878434817319,-0.4803276330902603,-0.2511751876118785
