player_name,league_name,player game win %,player true games total,Z-Goals per average per game,Z-Assists per average per game,Z-Shots per average per game,Z-Saves per average per game,Z-Nonstandard points per average per game
CW | Pretty,mnrs,0.0%,15,-1.960541969381745,-2.0717336566731057,-1.3634105048959682,-0.8648602788810714,2.680275531387447
Czecher,clmn,56.3%,80,0.13803704411188406,0.3792601201353886,0.3244521220679195,-0.2518405773438478,-0.17435551959411805
DarkCourier,clmn,0.0%,3,1.9911614791842251,-0.4157108560771203,-0.556096630997266,2.430075388896523,2.283271946532787
DarkCourier,mnrs,52.4%,42,-0.10648431031748175,1.7595522366451446,-0.6076294593529528,-0.07328368838531223,-1.2031871545386503
Delephant,mnrs,54.8%,62,2.0078256688153706,-0.37416851005037527,1.6865510244173636,0.07064033779233608,1.0764814475663393
Derek,mnrs,27.3%,11,-0.6248751138722947,-0.8291388716932945,0.089593496743292,0.7623167703477389,0.26030225210294333
Dicey,clmn,43.6%,78,0.22244437443281434,0.3878420098077314,0.5180318098503788,-0.08106234827787565,-0.19815131715340883
Dicey,mncs,75.0%,8,0.47324859581319273,1.4942611903487797,-0.0903474270530528,1.8114128278755863,1.3972480063286885
dinger022,clmn,28.6%,21,-0.24028929680908065,-0.8096313293999614,-0.46296962479148607,-0.9476069616915993,-0.313360199716652
dinger022,mnrs,50.0%,46,1.192802714357351,-0.33021836741948934,0.7922750780142515,-0.4330869163814591,-0.8650865566100452
DJCJ,mncs,50.8%,59,0.794165707428181,0.47032207055225317,0.9213621576155753,-0.6286415029369457,-0.14387227306649694
Dragon.,mnrs,57.9%,76,0.49885898510890186,0.5101414479523432,-0.17804513239472416,-0.8353502863470919,0.11375836253799272
El Bloop,clmn,60.0%,20,-0.05752697906762032,0.5630601887729886,0.2496874864981967,-0.20921202281287343,-0.1858933519262379
El Bloop,mnrs,60.0%,45,1.1553486069041523,0.47702477777845903,1.131028462361236,1.359215786296184,-1.2325297787154759
Elephant,clmn,65.7%,70,0.17763871042777896,0.926934768930483,0.24006594454405814,-0.26854148658578103,-0.7504121083229807
Elephant,mncs,14.3%,7,-1.764173517287091,-0.89838078212387,-0.6634245447888765,0.45263116648386387,1.1830108935053765
Fatez,mnrs,42.0%,50,-0.3064016679974786,-0.2084636405839091,-0.1673572597801205,-1.5808006862886335,0.5621966352377511
feelsbadman,mnrs,31.3%,16,-0.8870494020498964,-0.05470786880252365,0.19321618617223332,2.1617144102629076,0.5027644849031536
Freight Cabbage,mnrs,50.0%,52,0.4132955649799764,0.05809509990998026,-0.14122939286136404,0.8395309798091982,-0.7387768206061206
FuZZy,mnrs,60.0%,5,2.2861126301858867,0.16593234250038455,2.908185814058016,-1.4533066511663073,-1.0181407664859043
Fyre,mnrs,52.7%,74,-0.07779658888499542,1.4173400275281087,0.28779264669126153,0.5376189513485651,-0.8708263416648016
Grape,clmn,52.5%,80,1.0589446717363804,0.12073260281266683,0.9796592044344085,0.6105272912510965,-0.17387066649960514
Grape,mncs,44.4%,36,0.644334692166286,-0.8900661432672308,0.24964443739470207,0.1737508357030052,0.7356767932106412
HereticChimera,clmn,20.0%,25,-1.046269415296286,-0.2903209299707289,-0.998313230228166,-1.373054608618557,-0.5646271920841067
HereticChimera,mnrs,65.2%,23,-0.2833016799045727,-0.48638683760218276,0.2285929394944866,-0.7794923957329969,-0.3594199155490332
H-town11,clmn,40.0%,10,-1.2218898799483804,-1.3744447424194657,-1.9493839276788467,-0.12589744258419533,0.3569557664615538
H-town11,mnrs,21.8%,55,-0.552142431156608,-0.6515236101182679,-0.6894992143114053,0.31809860037701837,1.0420323479169098
IamGatman,mncs,45.5%,44,0.70686711935181,1.1802545570538836,0.9616629093840182,-0.19320293052758802,0.42618846232151775
iChaotic,mncs,20.0%,15,-1.3288490818474885,-0.6933595181221449,-1.0468856427516977,0.2509669583699372,-1.0359961156051443
JasonWolf,clmn,73.1%,26,-0.19900515714736347,0.32528303605325737,0.16934160175386598,0.15622672731365647,-0.9812002654716299
Jelp,clmn,47.1%,17,-0.47729773688119187,1.7225574658426124,0.5089528804125838,-0.668835647749882,-1.3642001131977335
